Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,att_cluster
Kylian Mbappé,ST,France,0.91,0.97,0.9,0.8,0.92,0.36,0.78,0.97,0.97,0.93,0.82,0.92,0.93,0.77,0.88,0.88,0.34,0.32,0.26,0.38,0.73,0.9,ST,ATT,3
Erling Haaland,ST,Norway,0.91,0.88,0.92,0.7,0.81,0.45,0.88,0.8,0.94,0.77,0.69,0.83,0.94,0.93,0.76,0.92,0.47,0.29,0.38,0.43,0.83,0.94,ST,ATT,3
Vini Jr.,LW,Brazil,0.9,0.95,0.84,0.81,0.91,0.29,0.69,0.95,0.95,0.94,0.84,0.9,0.86,0.65,0.84,0.74,0.25,0.18,0.32,0.26,0.5,0.81,LW,ATT,3
Harry Kane,ST,England,0.9,0.65,0.93,0.84,0.83,0.49,0.82,0.64,0.66,0.66,0.73,0.87,0.94,0.86,0.75,0.87,0.46,0.38,0.46,0.42,0.91,0.94,ST,ATT,3
Lautaro Martínez,ST,Argentina,0.89,0.82,0.88,0.75,0.87,0.54,0.85,0.84,0.8,0.89,0.92,0.89,0.92,0.85,0.83,0.93,0.51,0.44,0.55,0.48,0.86,0.87,ST,ATT,3
Mohamed Salah,RW,Egypt,0.89,0.89,0.87,0.82,0.88,0.45,0.75,0.89,0.89,0.89,0.91,0.86,0.93,0.73,0.87,0.79,0.43,0.41,0.38,0.55,0.59,0.82,RW,ATT,3
Phil Foden,RW,England,0.88,0.86,0.86,0.85,0.9,0.57,0.63,0.89,0.83,0.92,0.92,0.91,0.85,0.53,0.83,0.66,0.59,0.47,0.6,0.59,0.47,0.89,RW,ATT,3
Lionel Messi,RW,Argentina,0.88,0.79,0.85,0.87,0.92,0.33,0.64,0.86,0.73,0.9,0.95,0.93,0.85,0.68,0.7,0.71,0.35,0.24,0.2,0.4,0.6,0.83,RW,ATT,3
Antoine Griezmann,ST,France,0.88,0.8,0.88,0.87,0.89,0.59,0.75,0.81,0.8,0.89,0.84,0.91,0.9,0.69,0.86,0.85,0.63,0.64,0.45,0.59,0.85,0.85,ST,ATT,3
Robert Lewandowski,ST,Poland,0.88,0.75,0.88,0.79,0.86,0.44,0.84,0.76,0.75,0.77,0.83,0.9,0.89,0.89,0.76,0.92,0.42,0.19,0.35,0.49,0.88,0.89,ST,ATT,3
Victor Osimhen,ST,Nigeria,0.87,0.89,0.84,0.65,0.81,0.42,0.82,0.85,0.92,0.78,0.67,0.84,0.89,0.86,0.81,0.94,0.45,0.22,0.36,0.34,0.86,0.86,ST,ATT,3
Bukayo Saka,RW,England,0.87,0.85,0.83,0.81,0.88,0.6,0.7,0.88,0.83,0.85,0.88,0.88,0.85,0.63,0.86,0.71,0.62,0.6,0.6,0.62,0.49,0.79,RW,ATT,3
Neymar Jr,LW,Brazil,0.87,0.85,0.79,0.84,0.92,0.37,0.6,0.86,0.84,0.9,0.83,0.93,0.78,0.52,0.73,0.72,0.32,0.29,0.35,0.37,0.63,0.77,LW,ATT,3
Heung Min Son,ST,Korea Republic,0.87,0.87,0.89,0.81,0.85,0.42,0.73,0.86,0.88,0.81,0.74,0.85,0.9,0.69,0.88,0.82,0.34,0.33,0.45,0.39,0.72,0.89,ST,ATT,3
Cristiano Ronaldo,ST,Portugal,0.86,0.77,0.88,0.77,0.8,0.34,0.77,0.73,0.8,0.76,0.61,0.86,0.87,0.79,0.8,0.94,0.32,0.24,0.24,0.29,0.87,0.92,ST,ATT,3
Rodrygo,RW,Brazil,0.86,0.89,0.81,0.79,0.88,0.31,0.64,0.9,0.88,0.87,0.84,0.87,0.84,0.59,0.81,0.77,0.34,0.3,0.24,0.21,0.67,0.76,RW,ATT,3
Rafael Leão,LW,Portugal,0.86,0.94,0.79,0.8,0.87,0.28,0.77,0.94,0.94,0.85,0.84,0.87,0.84,0.83,0.75,0.9,0.24,0.21,0.22,0.24,0.72,0.8,LW,ATT,3
Ousmane Dembélé,RW,France,0.86,0.92,0.75,0.82,0.88,0.41,0.57,0.94,0.91,0.94,0.81,0.87,0.82,0.52,0.69,0.65,0.42,0.34,0.42,0.38,0.43,0.83,RW,ATT,3
Karim Benzema,ST,France,0.86,0.77,0.85,0.81,0.84,0.38,0.77,0.76,0.77,0.77,0.72,0.87,0.84,0.81,0.8,0.84,0.24,0.18,0.43,0.39,0.87,0.87,ST,ATT,3
Alexander Isak,ST,Sweden,0.85,0.85,0.84,0.73,0.86,0.39,0.74,0.83,0.87,0.8,0.69,0.87,0.85,0.77,0.78,0.88,0.34,0.29,0.35,0.38,0.78,0.82,ST,ATT,3
Khvicha Kvaratskhelia,LW,Georgia,0.85,0.86,0.79,0.8,0.86,0.41,0.71,0.85,0.86,0.86,0.75,0.87,0.84,0.7,0.77,0.78,0.39,0.34,0.38,0.4,0.62,0.78,LW,ATT,3
Loïs Openda,ST,Belgium,0.85,0.93,0.84,0.69,0.81,0.31,0.79,0.94,0.92,0.82,0.85,0.83,0.84,0.8,0.79,0.93,0.23,0.19,0.29,0.26,0.79,0.85,ST,ATT,3
Diogo Jota,ST,Portugal,0.85,0.82,0.82,0.75,0.84,0.57,0.79,0.85,0.8,0.86,0.87,0.85,0.88,0.75,0.8,0.91,0.57,0.45,0.53,0.56,0.86,0.86,ST,ATT,3
Ollie Watkins,ST,England,0.85,0.85,0.83,0.73,0.8,0.5,0.83,0.79,0.89,0.79,0.76,0.79,0.85,0.82,0.88,0.91,0.46,0.36,0.45,0.55,0.84,0.84,ST,ATT,3
Julián Álvarez,ST,Argentina,0.84,0.85,0.84,0.8,0.85,0.57,0.78,0.86,0.85,0.87,0.87,0.86,0.86,0.7,0.85,0.83,0.55,0.46,0.6,0.52,0.72,0.88,ST,ATT,3
Iago Aspas,ST,Spain,0.84,0.81,0.86,0.79,0.86,0.35,0.65,0.78,0.83,0.84,0.72,0.87,0.86,0.61,0.69,0.8,0.21,0.18,0.39,0.39,0.77,0.82,ST,ATT,3
Federico Chiesa,RW,Italy,0.84,0.93,0.83,0.76,0.86,0.52,0.75,0.92,0.93,0.9,0.84,0.83,0.84,0.7,0.84,0.76,0.51,0.48,0.51,0.54,0.53,0.86,RW,ATT,3
