Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,def_cluster
Virgil van Dijk,CB,Holland,0.89,0.78,0.6,0.71,0.71,0.89,0.86,0.66,0.87,0.54,0.5,0.77,0.88,0.93,0.72,0.89,0.91,0.86,0.9,0.88,0.87,0.81,CB,DEF,0
Rúben Dias,CB,Portugal,0.88,0.67,0.39,0.7,0.69,0.89,0.87,0.65,0.68,0.62,0.56,0.75,0.89,0.9,0.78,0.88,0.9,0.87,0.9,0.87,0.87,0.74,CB,DEF,0
Antonio Rüdiger,CB,Germany,0.88,0.82,0.55,0.73,0.7,0.86,0.86,0.71,0.91,0.56,0.5,0.74,0.86,0.91,0.7,0.89,0.88,0.87,0.86,0.85,0.83,0.84,CB,DEF,0
William Saliba,CB,France,0.87,0.82,0.39,0.7,0.74,0.87,0.83,0.77,0.86,0.53,0.46,0.82,0.86,0.87,0.72,0.89,0.89,0.86,0.88,0.86,0.79,0.6,CB,DEF,0
Theo Hernández,LB,France,0.87,0.95,0.76,0.78,0.84,0.81,0.89,0.95,0.95,0.83,0.81,0.85,0.85,0.88,0.92,0.95,0.86,0.8,0.78,0.8,0.77,0.86,LB,DEF,0
Marquinhos,CB,Brazil,0.87,0.79,0.56,0.75,0.74,0.89,0.81,0.76,0.81,0.68,0.67,0.79,0.86,0.79,0.83,0.89,0.89,0.88,0.9,0.89,0.88,0.65,CB,DEF,0
Alessandro Bastoni,CB,Italy,0.87,0.75,0.43,0.75,0.76,0.87,0.83,0.72,0.78,0.64,0.61,0.83,0.87,0.83,0.81,0.89,0.87,0.85,0.87,0.88,0.86,0.59,CB,DEF,0
Gabriel,CB,Brazil,0.86,0.69,0.41,0.63,0.61,0.86,0.82,0.61,0.76,0.51,0.37,0.71,0.85,0.86,0.71,0.86,0.86,0.86,0.87,0.86,0.87,0.62,CB,DEF,0
João Cancelo,LB,Portugal,0.86,0.81,0.73,0.85,0.85,0.8,0.72,0.86,0.77,0.79,0.78,0.87,0.84,0.62,0.88,0.8,0.83,0.79,0.79,0.81,0.72,0.8,LB,DEF,0
Carvajal,RB,Spain,0.86,0.81,0.58,0.79,0.81,0.81,0.79,0.82,0.81,0.78,0.84,0.85,0.85,0.74,0.84,0.85,0.84,0.83,0.8,0.81,0.76,0.68,RB,DEF,0
