Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,mid_cluster
Rodri,CDM,Spain,0.91,0.66,0.8,0.86,0.84,0.87,0.85,0.65,0.66,0.66,0.67,0.9,0.93,0.83,0.91,0.83,0.87,0.82,0.92,0.84,0.81,0.92,CDM,MID,5
Jude Bellingham,CAM,England,0.9,0.8,0.87,0.83,0.88,0.78,0.83,0.81,0.8,0.82,0.79,0.89,0.91,0.77,0.93,0.84,0.79,0.77,0.77,0.82,0.75,0.85,CAM,MID,5
Kevin De Bruyne,CM,Belgium,0.9,0.67,0.87,0.94,0.87,0.65,0.78,0.67,0.67,0.75,0.78,0.92,0.92,0.75,0.88,0.71,0.7,0.53,0.66,0.66,0.55,0.92,CM,MID,5
Martin Ødegaard,CM,Norway,0.89,0.7,0.82,0.89,0.89,0.67,0.66,0.72,0.69,0.85,0.83,0.91,0.91,0.56,0.88,0.66,0.72,0.57,0.68,0.69,0.55,0.82,CM,MID,5
Federico Valverde,CM,Uruguay,0.88,0.88,0.82,0.84,0.84,0.8,0.84,0.84,0.91,0.77,0.68,0.88,0.89,0.82,0.92,0.83,0.85,0.8,0.79,0.83,0.63,0.91,CM,MID,5
Bernardo Silva,CM,Portugal,0.88,0.75,0.78,0.86,0.92,0.71,0.69,0.83,0.69,0.95,0.92,0.92,0.89,0.54,0.93,0.68,0.76,0.68,0.7,0.73,0.54,0.79,CM,MID,5
Florian Wirtz,CAM,Germany,0.88,0.81,0.78,0.87,0.89,0.5,0.67,0.81,0.81,0.87,0.87,0.9,0.88,0.59,0.87,0.64,0.49,0.44,0.58,0.44,0.42,0.78,CAM,MID,1
Jamal Musiala,CAM,Germany,0.87,0.84,0.81,0.78,0.9,0.63,0.64,0.86,0.83,0.93,0.93,0.84,0.87,0.59,0.78,0.69,0.63,0.66,0.64,0.65,0.49,0.8,CAM,MID,5
Paulo Dybala,CAM,Argentina,0.87,0.8,0.85,0.84,0.89,0.41,0.65,0.84,0.76,0.88,0.9,0.91,0.84,0.67,0.74,0.77,0.42,0.39,0.32,0.42,0.65,0.84,CAM,MID,1
Declan Rice,CDM,England,0.87,0.73,0.72,0.82,0.79,0.84,0.85,0.71,0.75,0.55,0.65,0.84,0.85,0.81,0.92,0.82,0.86,0.85,0.85,0.86,0.72,0.84,CDM,MID,5
Frenkie de Jong,CM,Holland,0.87,0.82,0.69,0.86,0.87,0.77,0.78,0.8,0.83,0.87,0.79,0.89,0.88,0.74,0.89,0.82,0.76,0.77,0.76,0.82,0.72,0.68,CM,MID,5
Bruno Fernandes,CAM,Portugal,0.87,0.7,0.85,0.88,0.83,0.65,0.75,0.72,0.68,0.78,0.76,0.86,0.9,0.61,0.95,0.7,0.71,0.66,0.62,0.63,0.63,0.86,CAM,MID,5
İlkay Gündoğan,CM,Germany,0.87,0.62,0.83,0.85,0.87,0.74,0.73,0.65,0.6,0.77,0.77,0.91,0.86,0.73,0.75,0.67,0.78,0.67,0.77,0.78,0.5,0.81,CM,MID,5
Nicolò Barella,CM,Italy,0.87,0.81,0.78,0.83,0.86,0.8,0.82,0.85,0.78,0.91,0.92,0.88,0.9,0.74,0.93,0.79,0.83,0.81,0.8,0.84,0.6,0.8,CM,MID,5
Granit Xhaka,CDM,Switzerland,0.86,0.5,0.75,0.85,0.74,0.79,0.82,0.48,0.52,0.51,0.61,0.83,0.86,0.78,0.83,0.7,0.79,0.78,0.82,0.79,0.68,0.9,CDM,MID,5
Grimaldo,LM,Spain,0.86,0.74,0.73,0.88,0.85,0.76,0.71,0.77,0.71,0.84,0.86,0.86,0.86,0.63,0.9,0.73,0.78,0.74,0.76,0.79,0.62,0.84,LM,MID,5
Luka Modrić,CM,Croatia,0.86,0.72,0.76,0.88,0.87,0.71,0.64,0.75,0.69,0.92,0.92,0.9,0.85,0.58,0.76,0.67,0.73,0.72,0.7,0.79,0.55,0.79,CM,MID,5
Alexis Mac Allister,CM,Argentina,0.86,0.69,0.82,0.85,0.84,0.76,0.76,0.71,0.67,0.82,0.83,0.86,0.85,0.69,0.87,0.72,0.79,0.73,0.77,0.78,0.61,0.88,CM,MID,5
Pedri,CM,Spain,0.86,0.77,0.69,0.82,0.88,0.7,0.74,0.79,0.76,0.88,0.9,0.88,0.87,0.73,0.87,0.73,0.77,0.65,0.68,0.73,0.5,0.68,CM,MID,5
